date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2022-05-17, 14:29:10	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:12	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:14	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:16	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:18	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:20	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:22	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:24	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:26	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:28	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:30	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:32	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:34	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:36	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:38	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:40	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:42	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:44	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:46	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:48	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:50	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:52	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:54	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:56	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:58	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:30:00	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:30:02	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:30:04	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:30:06	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:30:08	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:30:10	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:30:12	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:30:14	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:30:16	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:30:18	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:30:20	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:30:22	0 Hz	0 W	6,7E0 mbar	6E0 mbar
2022-05-17, 14:30:24	0 Hz	0 W	1,2E2 mbar	1,3E2 mbar
2022-05-17, 14:30:26	0 Hz	0 W	1E3 mbar	2,6E2 mbar
2022-05-17, 14:30:28	0 Hz	0 W	1E3 mbar	2,3E2 mbar
2022-05-17, 14:30:30	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2022-05-17, 14:30:32	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2022-05-17, 14:30:34	0 Hz	0 W	1E3 mbar	1,8E2 mbar
2022-05-17, 14:30:36	0 Hz	0 W	1E3 mbar	1,8E2 mbar
2022-05-17, 14:30:38	0 Hz	0 W	1E3 mbar	1,8E2 mbar
2022-05-17, 14:30:40	0 Hz	0 W	1E3 mbar	1,8E2 mbar
2022-05-17, 14:30:42	0 Hz	0 W	1E3 mbar	1,8E2 mbar
2022-05-17, 14:30:44	0 Hz	0 W	1E3 mbar	1,8E2 mbar
2022-05-17, 14:30:46	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:30:48	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:30:50	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:30:52	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:30:54	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:30:56	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:30:58	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:00	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:02	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:04	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:06	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:08	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:10	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:12	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:14	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:16	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:18	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:20	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:22	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:24	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:26	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:28	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:30	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:32	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:34	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:36	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:38	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:40	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:42	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:44	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:46	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-05-17, 14:31:48	0 Hz	0 W	1E3 mbar	1,7E2 mbar
