t (s),V (mV)
589.926,9.3721
590.926,9.3578
591.926,9.3509
592.926,9.3495
593.926,9.3453
594.927,9.3463
595.927,9.3307
596.926,9.3297
597.926,9.3199
598.926,9.3149
599.926,9.312
600.927,9.3088
601.927,9.2995
602.926,9.289
603.927,9.2828
604.926,9.2783
605.926,9.2679
606.927,9.2703
607.926,9.2598
608.926,9.2578
609.927,9.2493
610.926,9.246
611.927,9.2421
612.926,9.2307
613.926,9.2218
614.927,9.2132
615.926,9.2053
616.926,9.204
617.927,9.1982
618.926,9.1903
619.927,9.1763
620.926,9.1738
621.926,9.1708
622.926,9.1412
623.927,9.1383
624.927,9.1202
625.927,9.1227
626.926,9.1107
627.927,9.1022
628.927,9.0942
629.926,9.0848
630.926,9.0715
631.926,9.097
632.927,9.0844
633.926,9.0793
634.926,9.0691
635.926,9.0684
636.927,9.0642
637.927,9.0508
638.926,9.0238
639.926,9.0255
640.927,9.0389
641.926,9.0227
642.926,8.9957
643.926,9.0068
644.927,9.0027
645.927,8.9923
646.926,8.9923
647.926,8.9892
648.926,8.9632
649.927,8.9797
650.926,8.9788
651.927,8.942
652.926,8.9595
653.926,8.9456
654.927,8.9371
655.926,8.9347
656.926,8.9362
657.926,8.9213
658.926,8.908
659.927,8.8941
660.926,8.8897
661.927,8.9032
662.926,8.8977
663.926,8.8897
664.927,8.8785
665.926,8.8754
666.927,8.8817
667.927,8.8727
668.927,8.8679
669.927,8.8683
670.927,8.8576
671.927,8.8509
672.927,8.8387
673.927,8.8332
674.926,8.8152
675.926,8.8164
676.926,8.8115
677.926,8.8073
678.926,8.8024
679.927,8.7968
680.926,8.7854
681.926,8.7801
682.927,8.771
683.926,8.7642
684.926,8.7503
685.927,8.7487
686.926,8.7431
687.926,8.7361
688.927,8.7276
689.926,8.7198
690.926,8.7143
691.927,8.7104
692.927,8.7055
693.926,8.7056
694.926,8.7011
695.927,8.6972
696.926,8.6837
697.926,8.6753
698.926,8.6693
699.927,8.664
700.926,8.6611
701.927,8.6564
702.926,8.6539
703.927,8.6528
704.926,8.6399
705.927,8.6363
706.926,8.6309
707.927,8.6291
708.926,8.6307
709.927,8.6256
710.926,8.6136
711.927,8.6057
712.926,8.5936
713.927,8.5757
714.927,8.5919
715.926,8.5889
716.927,8.5635
717.926,8.5599
718.927,8.5741
719.926,8.5367
720.927,8.5279
721.927,8.5239
722.927,8.5262
723.927,8.5131
724.927,8.5221
725.926,8.5231
726.926,8.5174
727.926,8.5131
728.927,8.5127
729.926,8.5128
730.927,8.4935
731.926,8.5048
732.927,8.4818
733.926,8.4681
734.927,8.4643
735.927,8.4737
736.926,8.4636
737.927,8.4722
738.926,8.4749
739.926,8.4602
740.927,8.4496
741.927,8.4519
742.926,8.4488
743.927,8.447
744.926,8.4367
745.927,8.4307
746.926,8.4222
747.926,8.4143
748.926,8.4116
749.927,8.4047
750.926,8.402
751.926,8.3925
752.926,8.3936
753.927,8.3869
754.927,8.3806
755.926,8.3755
756.927,8.3626
757.926,8.3557
758.926,8.354
759.926,8.358
760.926,8.3468
761.927,8.3358
762.927,8.3365
763.926,8.3246
764.926,8.3289
765.927,8.3209
766.927,8.3218
767.926,8.3101
768.927,8.3067
769.926,8.308
770.926,8.2948
771.927,8.2914
772.927,8.281
773.927,8.2724
774.926,8.2728
775.926,8.2696
776.926,8.2651
777.927,8.2571
778.927,8.2558
779.927,8.2527
780.926,8.2427
781.926,8.2368
782.927,8.2305
783.926,8.2238
784.927,8.221
785.926,8.2145
786.927,8.2084
787.927,8.2071
788.927,8.1997
789.926,8.1941
790.927,8.1888
791.927,8.1783
792.927,8.1841
793.927,8.1798
794.926,8.1689
795.926,8.1668
796.926,8.1536
797.926,8.1508
798.927,8.143
799.927,8.1363
800.927,8.1303
801.926,8.1245
802.927,8.123
803.926,8.1135
804.926,8.1105
805.926,8.1093
806.927,8.104
807.926,8.0992
808.926,8.0951
809.927,8.0888
810.926,8.0803
811.926,8.0735
812.927,8.0732
813.926,8.0666
814.926,8.0542
815.926,8.0431
816.927,8.0437
817.927,8.0423
818.926,8.0299
819.927,8.0387
820.926,8.0311
